DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,DEMENTIA DEATHS,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HR,2014,502,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HR,2015,605,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HR,2016,499,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HR,2017,670,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HR,2018,650,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HR,2019,621,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HR,2020,591,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HU,2011,2109,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HU,2012,2351,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HU,2013,2477,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HU,2014,2485,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HU,2015,2919,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HU,2016,2691,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HU,2017,3153,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HU,2018,3270,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HU,2019,3718,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HU,2020,3622,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,IE,2011,754,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,IE,2012,932,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,IE,2013,1167,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,IE,2014,1300,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,IE,2015,1480,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,IE,2016,1611,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,IE,2017,1687,
